Sr. No,Product Name,Price(Rs),Link,Website
1,"ASUS ZenBook Pro Duo UX581 Intel Core i9 9th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB GDDR6 Graphics Card/ScreenPad Plus/Celestial Blue/2.50 Kg), UX581GV-H9201T","2,69,139",https://www.amazon.in/result.find/ASUS-Touchscreen-ScreenPad-Celestial-UX581GV-H9201T/dp/B07YSTDMNB/ref=sr_1_32?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-32,Amazon.in
2,"ASUS ZenBook Pro Duo UX581 Intel Core i9 9th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB GDDR6 Graphics Card/ScreenPad Plus/Celestial Blue/2.50 Kg), UX581GV-H9201T","2,69,139",https://www.amazon.in/result.find/ASUS-Touchscreen-ScreenPad-Celestial-UX581GV-H9201T/dp/B07YSTDMNB/ref=sr_1_32?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-32,Amazon.in
3,"ASUS ZenBook Pro Duo Intel Core i7-10750H 10th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB NVIDIA GeForce RTX 2060 Graphics/Celestial Blue/2.5 Kg), UX581LV-H2034T","2,24,494",https://www.amazon.in/result.find/ASUS-i7-10750H-Touchscreen-Celestial-UX581LV-H2034T/dp/B08CHGCBY9/ref=sr_1_8?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-8,Amazon.in
4,"ASUS ZenBook Pro Duo Intel Core i7-10750H 10th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB NVIDIA GeForce RTX 2060 Graphics/Celestial Blue/2.5 Kg), UX581LV-H2034T","2,24,494",https://www.amazon.in/result.find/ASUS-i7-10750H-Touchscreen-Celestial-UX581LV-H2034T/dp/B08CHGCBY9/ref=sr_1_8?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-8,Amazon.in
5,"2019 Apple MacBook Pro (16-inch/40.65 cm, 16GB RAM, 1TB Storage, 2.3GHz 9th Gen Intel Core i9) - Silver","2,22,810",https://www.amazon.in/result.find/Apple-MacBook-16-inch-Storage-2-3GHz/dp/B081JX8QP9/ref=sr_1_6?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-6,Amazon.in
6,"2019 Apple MacBook Pro (16-inch/40.65 cm, 16GB RAM, 1TB Storage, 2.3GHz 9th Gen Intel Core i9) - Silver","2,22,810",https://www.amazon.in/result.find/Apple-MacBook-16-inch-Storage-2-3GHz/dp/B081JX8QP9/ref=sr_1_6?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-6,Amazon.in
7,APPLE MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac OS Catalina/4 GB Graphics) MVVK2HN/A,"2,22,810",https://www.flipkart.com//apple-macbook-pro-core-i9-9th-gen-16-gb-1-tb-ssd-mac-os-catalina-4-gb-graphics-mvvk2hn-a/p/itm1fc58c7ecac1c?pid=COMFMGKPK82CHJZ4&lid=LSTCOMFMGKPK82CHJZ4CR92AA&marketplace=FLIPKART&q=macbook+pro&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=25857631-2381-48be-b666-9e69f87a5af7.COMFMGKPK82CHJZ4.SEARCH&ppt=None&ppn=None&ssid=gotbv4nbgg0000001626531372073&qH=9cf36a97583bd48f,Flipkart
8,APPLE MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac OS Catalina/4 GB Graphics) MVVM2HN/A,"2,22,810",https://www.flipkart.com//apple-macbook-pro-core-i9-9th-gen-16-gb-1-tb-ssd-mac-os-catalina-4-gb-graphics-mvvm2hn-a/p/itm129246fc30943?pid=COMFMGKPGRGGSH3R&lid=LSTCOMFMGKPGRGGSH3RXZPQZ0&marketplace=FLIPKART&q=macbook+pro&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=25857631-2381-48be-b666-9e69f87a5af7.COMFMGKPGRGGSH3R.SEARCH&ppt=None&ppn=None&ssid=gotbv4nbgg0000001626531372073&qH=9cf36a97583bd48f,Flipkart
9,"2019 Apple MacBook Pro (16-inch/40.65 cm, 16GB RAM, 512GB Storage, 2.6GHz 9th Gen Intel Core i7) - Space Grey","1,85,659",https://www.amazon.in/result.find/Apple-MacBook-16-inch-Storage-Intel-Core-i7/dp/B081JWZQJB/ref=sr_1_5?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-5,Amazon.in
10,"2019 Apple MacBook Pro (16-inch/40.65 cm, 16GB RAM, 512GB Storage, 2.6GHz 9th Gen Intel Core i7) - Space Grey","1,85,659",https://www.amazon.in/result.find/Apple-MacBook-16-inch-Storage-Intel-Core-i7/dp/B081JWZQJB/ref=sr_1_5?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-5,Amazon.in
11,APPLE MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A,"1,85,659",https://www.flipkart.com//apple-macbook-pro-core-i7-9th-gen-16-gb-512-gb-ssd-mac-os-catalina-4-graphics-mvvj2hn-a/p/itm0a25cefe31533?pid=COMFMGKP2V2BMZQY&lid=LSTCOMFMGKP2V2BMZQYZQ528X&marketplace=FLIPKART&q=macbook+pro&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=25857631-2381-48be-b666-9e69f87a5af7.COMFMGKP2V2BMZQY.SEARCH&ppt=None&ppn=None&ssid=gotbv4nbgg0000001626531372073&qH=9cf36a97583bd48f,Flipkart
12,APPLE MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVL2HN/A,"1,85,659",https://www.flipkart.com//apple-macbook-pro-core-i7-9th-gen-16-gb-512-gb-ssd-mac-os-catalina-4-graphics-mvvl2hn-a/p/itm13937d8b1b0dc?pid=COMFMGKPYZZUDNME&lid=LSTCOMFMGKPYZZUDNMEWIVF3Z&marketplace=FLIPKART&q=macbook+pro&store=6bo%2Fb5g&spotlightTagId=BestvalueId_6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=25857631-2381-48be-b666-9e69f87a5af7.COMFMGKPYZZUDNME.SEARCH&ppt=None&ppn=None&ssid=gotbv4nbgg0000001626531372073&qH=9cf36a97583bd48f,Flipkart
